afraid,angry,anxious,ashamed,delighted,elated,enthusiastic,excited,Extraversion,Neuroticism,sex
1,0.0,1.0,0,1,1,1,1,9.0,20.0,2.0
0,0.0,0.0,0,1,0,0,0,18.0,8.0,2.0
0,0.0,0.0,0,0,0,0,0,15.0,11.0,1.0
0,5.0,5.0,1,2,1,3,3,20.0,20.0,1.0
0,0.0,NA,0,0,0,1,2,13.0,15.0,1.0
0,0.0,NA,0,0,0,1,0,19.0,15.0,2.0
0,0.0,NA,0,0,0,0,0,11.0,17.0,1.0
0,0.0,NA,0,0,0,0,0,11.0,4.0,1.0
0,0.0,NA,0,2,1,2,1,11.0,10.0,2.0
0,0.0,NA,0,0,0,0,0,15.0,11.0,2.0
0,0.0,NA,0,0,0,0,0,21.0,15.0,2.0
0,0.0,NA,0,0,0,0,0,14.0,8.0,2.0
0,0.0,NA,0,0,0,0,0,8.0,7.0,2.0
0,0.0,NA,0,1,1,1,1,12.0,2.0,2.0
0,0.0,NA,0,0,0,1,0,8.0,8.0,2.0
0,0.0,NA,0,0,0,0,0,8.0,4.0,2.0
0,0.0,NA,0,1,1,1,0,9.0,11.0,1.0
0,0.0,NA,0,2,1,2,2,18.0,8.0,1.0
0,1.0,NA,0,0,0,0,0,18.0,12.0,2.0
0,0.0,NA,0,1,0,1,0,16.0,5.0,2.0
0,0.0,NA,0,1,0,0,0,14.0,10.0,2.0
0,0.0,NA,0,0,0,0,0,19.0,3.0,2.0
0,0.0,NA,0,1,0,1,0,18.0,11.0,1.0
0,0.0,NA,1,2,2,2,2,13.0,14.0,2.0
0,0.0,NA,0,0,0,2,0,16.0,10.0,2.0
0,0.0,NA,0,0,0,1,0,16.0,12.0,1.0
0,0.0,NA,1,1,0,1,1,16.0,15.0,1.0
0,0.0,NA,0,2,3,2,3,18.0,9.0,1.0
1,1.0,NA,1,0,0,0,1,17.0,12.0,2.0
0,0.0,NA,0,0,0,0,0,15.0,8.0,2.0
0,0.0,NA,0,2,1,2,2,17.0,1.0,2.0
0,0.0,NA,0,0,0,1,1,13.0,11.0,2.0
0,0.0,NA,0,0,0,0,0,16.0,12.0,2.0
0,0.0,NA,0,2,1,1,0,12.0,11.0,2.0
0,0.0,NA,0,0,0,1,0,12.0,12.0,2.0
0,0.0,NA,0,0,0,0,0,14.0,9.0,1.0
0,0.0,NA,0,1,1,1,0,8.0,8.0,1.0
0,0.0,NA,0,1,0,1,1,14.0,14.0,2.0
0,0.0,NA,0,0,0,0,0,9.0,21.0,2.0
0,0.0,NA,0,2,1,1,1,13.0,10.0,2.0
0,0.0,NA,0,1,0,1,1,12.0,11.0,1.0
0,0.0,NA,0,0,0,1,0,17.0,14.0,1.0
0,0.0,NA,0,2,1,1,0,14.0,6.0,1.0
0,2.0,NA,0,1,2,0,2,17.0,10.0,2.0
0,0.0,NA,0,0,0,0,0,7.0,18.0,1.0
0,1.0,NA,0,0,0,0,0,8.0,15.0,2.0
1,0.0,NA,0,0,0,1,0,11.0,11.0,2.0
1,0.0,NA,0,0,0,0,0,12.0,14.0,2.0
3,3.0,NA,3,3,2,2,1,18.0,14.0,1.0
0,0.0,NA,0,0,1,0,0,12.0,15.0,2.0
0,0.0,NA,0,2,2,2,2,12.0,18.0,1.0
0,1.0,NA,0,0,0,0,0,15.0,6.0,1.0
